# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 controller/shared-PHY prefix
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
1	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
2	pmgr	clock-gate:162:APCIE_GP	0x00502280100	4	RMW	0x1000030f	0x0000000f
3	pmgr	clock-gate:162:APCIE_GP	0x00502280100	4	RMW	0x1000030f	0x0000000f
4	pmgr	clock-gate:244:APCIE_SYS_GP	0x00502280390	4	RMW	0x1000030f	0x0000000f
5	pmgr	clock-gate:163:APCIE_ST0	0x00502280108	4	RMW	0x1000030f	0x0000000f
6	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
7	pmgr	clock-gate:163:APCIE_ST0	0x00502280108	4	RMW	0x1000030f	0x0000000f
8	pmgr	clock-gate:242:APCIE_SYS_ST0	0x00502280380	4	RMW	0x1000030f	0x0000000f
9	pmgr	clock-gate:164:APCIE_ST1	0x00502280110	4	RMW	0x1000030f	0x0000000f
10	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
11	pmgr	clock-gate:164:APCIE_ST1	0x00502280110	4	RMW	0x1000030f	0x0000000f
12	pmgr	clock-gate:243:APCIE_SYS_ST1	0x00502280388	4	RMW	0x1000030f	0x0000000f
13	controller	apcie-axi2af-tunables	0x00416000000	4	RMW	0x800000ff	0x80000022
14	controller	apcie-axi2af-tunables	0x00416000004	4	RMW	0x80ff00ff	0x80220003
15	controller	apcie-axi2af-tunables	0x00416000008	4	RMW	0x80ff00ff	0x80220003
16	controller	apcie-axi2af-tunables	0x0041600000c	4	RMW	0x80ff00ff	0x80220003
17	controller	apcie-axi2af-tunables	0x00416000010	4	RMW	0x80ff00ff	0x80220003
18	controller	apcie-axi2af-tunables	0x00416000014	4	RMW	0x80ff00ff	0x80220003
19	controller	apcie-axi2af-tunables	0x00416000018	4	RMW	0x80ff00ff	0x80220003
20	controller	apcie-axi2af-tunables	0x0041600001c	4	RMW	0x800000ff	0x8000001c
21	controller	apcie-axi2af-tunables	0x00416000020	4	RMW	0x800000ff	0x80000088
22	controller	apcie-axi2af-tunables	0x00416000024	4	RMW	0x80ff00ff	0x8088000c
23	controller	apcie-axi2af-tunables	0x00416000028	4	RMW	0x80ff00ff	0x8088000c
24	controller	apcie-axi2af-tunables	0x0041600002c	4	RMW	0x80ff00ff	0x80200008
25	controller	apcie-axi2af-tunables	0x00416000030	4	RMW	0x80ff00ff	0x8088000c
26	controller	apcie-axi2af-tunables	0x00416000034	4	RMW	0x80ff00ff	0x8088000c
27	controller	apcie-axi2af-tunables	0x00416000038	4	RMW	0x800000ff	0x8000001c
28	controller	apcie-axi2af-tunables	0x0041600003c	4	RMW	0x800000ff	0x8000001c
29	controller	apcie-axi2af-tunables	0x00416000040	4	RMW	0x800000ff	0x8000001c
30	controller	apcie-axi2af-tunables	0x00416000100	4	RMW	0x000000ff	0x000000ff
31	controller	apcie-axi2af-tunables	0x00416000108	4	RMW	0xffff0006	0x00100000
32	controller	apcie-axi2af-tunables	0x00416000304	4	RMW	0x3f3f0000	0x08080000
33	controller	apcie-axi2af-tunables	0x00416000308	4	RMW	0x000fffff	0x00001681
34	controller	apcie-axi2af-tunables	0x0041600030c	4	RMW	0x000fffff	0x00001680
35	controller	apcie-axi2af-tunables	0x00416000310	4	RMW	0x70000fff	0x000001e0
36	controller	apcie-axi2af-tunables	0x00416000314	4	RMW	0xf0000fff	0x800001e0
37	controller	apcie-axi2af-tunables	0x00416000318	4	RMW	0x70000fff	0x000005a0
38	controller	apcie-axi2af-tunables	0x0041600031c	4	RMW	0xf0000fff	0x800005a0
39	controller	apcie-axi2af-tunables	0x00416000320	4	RMW	0x70000fff	0x000005a0
40	controller	apcie-axi2af-tunables	0x00416000324	4	RMW	0xf0000fff	0x800005a0
41	controller	apcie-axi2af-tunables	0x00416000328	4	RMW	0x70000fff	0x000005a0
42	controller	apcie-axi2af-tunables	0x0041600032c	4	RMW	0x70000fff	0x000005a0
43	controller	apcie-axi2af-tunables	0x00416000330	4	RMW	0x70000fff	0x000005a0
44	controller	apcie-axi2af-tunables	0x00416000334	4	RMW	0x70000fff	0x000005a0
45	controller	apcie-axi2af-tunables	0x00416000338	4	RMW	0x70000fff	0x000005a0
46	controller	apcie-axi2af-tunables	0x0041600033c	4	RMW	0x70000fff	0x000005a0
47	controller	apcie-axi2af-tunables	0x00416000340	4	RMW	0x70000fff	0x000005a0
48	controller	apcie-axi2af-tunables	0x00416000348	4	RMW	0xffffffff	0x0000ffff
